Country_code;Year_decision;Country;Country_short;Region;Income_group;Year_first_decision;Year_target;Year_latest_target;Target_minimum;Target_maximum;Target_average;Unit;Target_type;RE_technology;Target_consistent;Miscellaneous;Source;Note.changes;added_in_version;change_reason;status;status_changed_in_version
AUT;2023;Austria;Austria;Europe & Central Asia;High income;2006;2030;2030;NA;45;45;Percent;Final energy;All technologies;45;;https://www.ren21.net/wp-content/uploads/2019/05/GSR2024_GlobalOverview_Full_Report_with_endnotes_web.pdf;;V1;;active;V1
AZE;2013;Azerbaijan;Azerbaijan;Europe & Central Asia;Upper middle income;2013;2020;2030;NA;20;20;Percent;Electricity;All technologies;20;;https://www.ren21.net/wp-content/uploads/2019/05/GSR2014_Full-Report_English.pdf;;V3;New non-EU-27 observation added in V3;active;V3
AZE;2022;Azerbaijan;Azerbaijan;Europe & Central Asia;Upper middle income;2013;2030;2030;NA;30;30;Percent;Electricity;All technologies;30;;https://www.ren21.net/wp-content/uploads/2019/05/GSR2023_GlobalOverview_Full_Report_with_endnotes_web.pdf;;V3;New non-EU-27 observation added in V3;active;V3
AZE;2023;Azerbaijan;Azerbaijan;Europe & Central Asia;Upper middle income;2023;2030;2030;NA;30;30;Percent;Final energy;All technologies;30;;https://www.ren21.net/wp-content/uploads/2019/05/GSR2024_GlobalOverview_Full_Report_with_endnotes_web.pdf;;V3;New non-EU-27 observation added in V3;active;V3
BDI;2010;Burundi;Burundi;Sub-Saharan Africa;Low income;2010;2020;2025;NA;2;2;Percent;Final energy;All technologies;2;;https://www.ren21.net/wp-content/uploads/2019/05/GSR2011_Full-Report_English.pdf;;V3;New non-EU-27 observation added in V3;active;V3
BDI;2020;Burundi;Burundi;Sub-Saharan Africa;Low income;2020;2020;2025;NA;17;17;Percent;Electricity;All technologies;17;;https://www.ren21.net/wp-content/uploads/2019/05/GSR2021_Full_Report.pdf;;V3;New non-EU-27 observation added in V3;active;V3
BDI;2020;Burundi;Burundi;Sub-Saharan Africa;Low income;2010;2025;2025;NA;50;50;Percent;Final energy;All technologies;50;;https://www.ren21.net/wp-content/uploads/2019/05/GSR2021_Full_Report.pdf;;V3;New non-EU-27 observation added in V3;active;V3
BDI;2020;Burundi;Burundi;Sub-Saharan Africa;Low income;2020;2025;2025;NA;50;50;Percent;Electricity;All technologies;50;;https://www.ren21.net/wp-content/uploads/2019/05/GSR2021_Full_Report.pdf;;V3;New non-EU-27 observation added in V3;active;V3
BEL;2001;Belgium;Belgium;Europe & Central Asia;High income;2001;2010;2030;NA;6;6;Percent;Electricity;All technologies;6;;https://www.iea.org/policies/3719-national-green-certificate-scheme;;V1;;active;V1
BEL;2009;Belgium;Belgium;Europe & Central Asia;High income;2009;2020;2050;NA;13;13;Percent;Final energy;All technologies;13;;https://www.ren21.net/wp-content/uploads/2019/05/GSR2010_Full-Report_English.pdf;;V1;;active;V1
BEL;2011;Belgium;Belgium;Europe & Central Asia;High income;2001;2020;2030;NA;21;21;Percent;Electricity;All technologies;21;;https://www.ren21.net/Portals/0/documents/activities/gsr/GSR2012.pdf;;V1;;active;V1
BEL;2019;Belgium;Belgium;Europe & Central Asia;High income;2001;2030;2030;NA;41;41;Percent;Electricity;All technologies;41;;https://ember-energy.org/data/live-eu-necp-tracker/#data-tool;;V1;;active;V1
BEL;2020;Belgium;Belgium;Europe & Central Asia;High income;2009;2030;2050;NA;18;18;Percent;Final energy;All technologies;18;;https://www.ren21.net/wp-content/uploads/2019/05/GSR2021_Full_Report.pdf;;V1;;active;V1
BEL;2022;Belgium;Belgium;Europe & Central Asia;High income;2009;2050;2050;NA;100;100;Percent;Final energy;All technologies;100;;https://www.ren21.net/wp-content/uploads/2019/05/GSR2023_GlobalOverview_Full_Report_with_endnotes_web.pdf;;V1;;active;V1
BEN;2011;Benin;Benin;Sub-Saharan Africa;Lower middle income;2011;2025;2025;NA;50;50;Percent;Electricity;All technologies;50;Only rural;https://www.ren21.net/wp-content/uploads/2019/05/GSR2012_Full-Report_English.pdf;;V3;New non-EU-27 observation added in V3;active;V3
BEN;2017;Benin;Benin;Sub-Saharan Africa;Lower middle income;2017;2025;2025;NA;25;25;Percent;Final energy;All technologies;25;;https://www.ren21.net/wp-content/uploads/2019/08/Full-Report-2018.pdf;;V3;New non-EU-27 observation added in V3;active;V3
BFA;2016;Burkina Faso;Burkina Faso;Sub-Saharan Africa;Low income;2016;2050;2050;NA;100;100;Percent;Electricity;All technologies;100;;https://www.ren21.net/wp-content/uploads/2019/05/GSR2017_Full-Report_English.pdf;;V3;New non-EU-27 observation added in V3;active;V3
BFA;2017;Burkina Faso;Burkina Faso;Sub-Saharan Africa;Low income;2016;2025;2050;NA;50;50;Percent;Electricity;All technologies;50;;https://www.ren21.net/wp-content/uploads/2019/08/Full-Report-2018.pdf;;V3;New non-EU-27 observation added in V3;active;V3
BFA;2020;Burkina Faso;Burkina Faso;Sub-Saharan Africa;Low income;2020;2025;2030;NA;50;50;Percent;Final energy;All technologies;50;;https://www.ren21.net/wp-content/uploads/2019/05/GSR2021_Full_Report.pdf;;V3;New non-EU-27 observation added in V3;active;V3
BFA;2020;Burkina Faso;Burkina Faso;Sub-Saharan Africa;Low income;2016;2030;2050;NA;50;50;Percent;Electricity;All technologies;50;;https://www.ren21.net/wp-content/uploads/2019/05/GSR2021_Full_Report.pdf;;V3;New non-EU-27 observation added in V3;active;V3
BFA;2023;Burkina Faso;Burkina Faso;Sub-Saharan Africa;Low income;2020;2030;2030;NA;50;50;Percent;Final energy;All technologies;50;;https://www.ren21.net/wp-content/uploads/2019/05/GSR2024_GlobalOverview_Full_Report_with_endnotes_web.pdf;;V3;New non-EU-27 observation added in V3;active;V3
BGD;2009;Bangladesh;Bangladesh;South Asia;Lower middle income;2009;2020;2050;NA;10;10;Percent;Electricity;All technologies;10;;https://www.ren21.net/Portals/0/documents/activities/gsr/REN21_GSR_2010_full_revised%20Sept2010.pdf;;V3;New non-EU-27 observation added in V3;active;V3
